concentration_CH4,concentration_CO2,concentration_H2,concentration_H2O,concentration_O2,pressure_bar,temperature_kelvin
0.035,0.0004,0.00000008,0.0123,0.12,1.0924,316.13
0.00000163,0.0004,0.00000007,0.0123,0.21,1.0306,288.57
0.00000163,0.04,0.00000008,0.0123,0.12,1.0889,314.61
0.02,0.01,0.03,0.0123,0.23,1.0544,318.62
0.01,0.02,0.07,0.0123,0.21,1.1183,320.3
0.00000163,0.02,0.00000008,0.0123,0.06,1.0308,308.05
0.01,0.03,0.00000008,0.0123,0.16,1.0765,321.21
0.01,0.04,0.01,0.0123,0.22,1.0881,323.11
0.01,0.0004,0.00000009,0.0123,0.21,1.0294,308.7
0.025,0.0004,0.00000008,0.0123,0.22,1.1006,315.04
0.09,0.0004,0.02,0.0123,0.23,1.0963,316.82
0.015,0.0004,0.00000008,0.0123,0.4,1.0693,315.51
0.04,0.01,0.05,0.0123,0.23,1.106,321.36
0.03,0.07,0.00000008,0.0123,0.21,1.1703,328.06
0.005,0.08,0.00000008,0.0123,0.21,1.1122,325.5
0.00000163,0.0004,0.00000008,0.0123,0.18,1.0306,288.59
0.04,0.01,0.00000008,0.0123,0.32,1.127,322.14
0.02,0.04,0.05,0.0123,0.23,1.1446,324.58
0.005,0.02,0.00000008,0.0123,0.24,1.068,318.77
0.00000163,0.05,0.02,0.0123,0.29,1.0908,315.01
0.00000163,0.08,0.04,0.0123,0.18,1.0815,315.16
0.02,0.01,0.02,0.0123,0.23,1.0499,319.1
0.01,0.02,0.01,0.0123,0.26,1.0615,320.4
0.01,0.08,0.00000008,0.0123,0.31,1.1357,326.44
0.02,0.0004,0.06,0.0123,0.2,1.0327,311.11
0.005,0.02,0.00000008,0.0123,0.04,1.0692,317.49
0.01,0.0004,0.05,0.0123,0.17,1.0687,313.27
0.08,0.09,0.00000008,0.0123,0.2,1.1649,329.9
0.015,0.02,0.00000008,0.0123,0.3,1.1002,321.39
0.03,0.06,0.02,0.0123,0.2,1.1431,327.18
0.02,0.02,0.00000008,0.0123,0.21,1.1181,322.54
0.005,0.04,0.00000007,0.0123,0.21,1.0875,321.85
0.01,0.02,0.00000008,0.0123,0.32,1.0675,319.88
0.005,0.02,0.00000008,0.0123,0.26,1.112,320.15
0.01,0.03,0.00000008,0.0123,0.1,1.0872,321.02
0.025,0.04,0.00000008,0.0123,0.22,1.1439,325.58
0.01,0.0004,0.00000008,0.0123,0.12,1.0294,308.68
0.00000163,0.03,0.00000009,0.0123,0.18,1.0617,311.16
0.06,0.02,0.00000008,0.0123,0.23,1.1393,324.62
0.01,0.06,0.00000009,0.0123,0.2,1.1014,324.3
0.00000163,0.0004,0.00000008,0.0123,0.5,1.0304,288.32
0.015,0.01,0.00000008,0.0123,0.26,1.0981,319.09
0.015,0.03,0.00000008,0.0123,0.1,1.1197,322.81
0.00000163,0.04,0.00000008,0.0123,0.08,1.093,314.88
0.01,0.03,0.00000008,0.0123,0.12,1.0797,321.13
0.04,0.02,0.02,0.0123,0.15,1.1265,322.93
0.02,0.0004,0.00000007,0.0123,0.24,1.0715,317.65
0.00000163,0.01,0.00000008,0.0123,0.3,1.0605,304.12
0.01,0.02,0.04,0.0123,0.19,1.0654,319.76
0.00000163,0.08,0.05,0.0123,0.2,1.1024,315.51
0.03,0.04,0.00000008,0.0123,0.22,1.1477,325.68
0.02,0.01,0.04,0.0123,0.15,1.1122,321.46
0.01,0.02,0.00000008,0.0123,0.06,1.0749,319.03
0.05,0.02,0.00000008,0.0123,0.18,1.1359,325.38
0.05,0.04,0.00000008,0.0123,0.19,1.1618,326.55
0.02,0.01,0.00000009,0.0123,0.21,1.1023,320.13
0.01,0.0004,0.00000009,0.0123,0.25,1.0306,308.75
0.01,0.03,0.00000008,0.0123,0.19,1.0824,321.47
0.01,0.0004,0.04,0.0123,0.26,1.031,308.33
0.00000163,0.01,0.00000008,0.0123,0.2,1.0294,302.79
0.01,0.04,0.00000008,0.0123,0.22,1.1338,323.84
0.01,0.03,0.00000008,0.0123,0.35,1.0775,321.57
0.02,0.01,0.00000009,0.0123,0.21,1.1041,319.86
0.02,0.0004,0.00000008,0.0123,0.3,1.0707,317.37
0.02,0.02,0.01,0.0123,0.28,1.1276,322.89
0.015,0.02,0.00000008,0.0123,0.21,1.1169,321.99
0.005,0.0004,0.00000008,0.0123,0.18,1.0294,305.85
0.08,0.01,0.01,0.0123,0.2,1.1285,325.06
0.015,0.0004,0.00000008,0.0123,0.32,1.0626,315.99
0.00000163,0.02,0.04,0.0123,0.28,1.0604,306.92
0.00000163,0.03,0.00000007,0.0123,0.21,1.0573,310.9
0.01,0.07,0.00000008,0.0123,0.26,1.1059,325.26
